	H005_102	H005_118_hybrid	H005_126	H005_137	H005_73_hybrid	H005_75	H005_77	H005_94	H005_97	H005_98_hybrid	H007_145	H007_146	H007_148	H007_154	H007_156	H007_157	H007_158	H007_162	H007_172	H007_176_hybrid	H007_181	H007_183	H007_187	H007_188	H007_190	H007_194	H009_202	H009_205	H009_211	H009_213	H009_215	H009_217	H009_218	H009_219	H009_220	H009_221_hybrid	H009_228	H009_230	H009_234	H009_236	H009_251	H009_255	H009_256	H009_259
H005_102	1.0	0.9920760730000001	0.9987770772000001	0.9920482364000001	0.9928886236000001	0.9928799025	0.9928817326	0.7473502513	0.9928611876000001	0.9995343293000001	0.9925775778	0.9919842150000001	0.9920280798000001	0.9920062635	0.9919357443000001	0.9919871656	0.9918443029	0.9919662545000001	0.9919867666000001	0.9925543714	0.9918712684000001	0.9919464665000001	0.992068523	0.9916346953	0.9919886881000001	0.9918992859	0.9924160302	0.9923766211	0.9925701244	0.9932984174	0.9932607049000001	0.9925064199	0.9932817566000001	0.9923717745	0.9932787248	0.9932743336000001	0.9925611437	0.9926879279	0.9920480965	0.9923365172	0.9923420784	0.9923052331000001	0.9923797587000001	0.9925593363
H005_118_hybrid	0.9928672779000001	1.0	0.9907721908	0.9981256969000001	0.9935045887	0.9935491776	0.9936254384000001	0.7536792782	0.9935230840000001	0.9931381226	0.9995489968000001	0.9980637245	0.9980400028	0.9982741546	0.9978426688	0.9979537831	0.9980722888	0.9982500988	0.9980580661	0.9937659999999999	0.9980606234	0.9980415354000001	0.9981256246	0.9982579416	0.9981064836	0.9982471246000001	0.9994398392	0.9992950973	0.9993704201	0.9937258449	0.9937682430000001	0.9996015719	0.9937734653	0.9994473661000001	0.9937997724000001	0.9938171010000001	0.9995215243000001	0.9951691244	0.9950583695	0.9995189916	0.9998714335000001	0.9993832354000001	0.9979289716	0.9994584729
H005_126	0.9486246912	0.9362275153	1.0	0.9362408396	0.9364020241000001	0.9363665871	0.9363754638	0.942394236	0.9363355437	0.9479164292000001	0.9367233823000001	0.9362377912000001	0.9362257955000001	0.9361754587000001	0.9361359019000001	0.9362712691	0.9360963014	0.9361829073000001	0.9361848859	0.9356947795	0.9361014331	0.9361974241000001	0.9362566225000001	0.9359693196000001	0.9361850902000001	0.9362244625	0.9366332700000001	0.9364545465	0.9365412661	0.9353210806000001	0.9354714487	0.9365319173000001	0.9354955625	0.9363501561	0.9354209083	0.9354179852000001	0.9366460199000001	0.9369184732	0.9367057973	0.9363352785	0.9363844193	0.9363094473	0.9374699467000001	0.9367083537
H005_137	0.9923695784000001	0.9976474724000001	0.9905789067	1.0	0.9937888841	0.9938220161	0.9938316136	0.7458542786	0.9938034363	0.9926926033000001	0.9979266798	0.9999616479000001	0.9999349188000001	0.9999423938	0.9995621112	0.9999729047	0.9999126805	0.9999322636	0.9999577347	0.993524276	0.9999233167	0.9999441291000001	0.9998628658000001	0.9998198029	0.9999401312	0.9999676318	0.9978149873000001	0.9978642145000001	0.9978540627	0.9933542941000001	0.993334845	0.997865753	0.9933065818000001	0.9978223255	0.9933019159	0.9933279668	0.9979050720000001	0.9954511596000001	0.9940512761	0.9977837359	0.9977954499	0.997759669	0.9965960383	0.9979384839000001
H005_73_hybrid	0.9931029271	0.9930004450000001	0.9903509598	0.9927278949	1.0	0.9996515861	0.9997948780000001	0.7534251489	0.9997743284	0.9933819519	0.9928171351	0.9929699635	0.9929159667	0.9931613112000001	0.9929416037000001	0.9927085814000001	0.9928552035	0.9932546252000001	0.9929522482	0.9944225798	0.9929636471000001	0.9928166677	0.9928483657	0.9928412831000001	0.9929146851	0.9929822009	0.9926877677	0.9923982715	0.9927943598000001	0.9946558139	0.9946480980000001	0.9928247599000001	0.9946533944	0.9927013113	0.9947677087000001	0.9946967683000001	0.9928060499	0.9938188821	0.9937157492	0.992784247	0.9929945676	0.9925663147	0.9923859267	0.9926517468
H005_75	0.9926828903	0.9923803945	0.9910905188	0.9929877384	0.9997878883	1.0	0.999961254	0.7475438866	0.9999015527	0.9925930424	0.9926141209	0.9931037542000001	0.9929512191000001	0.9929979321000001	0.9929424599000001	0.9931346681000001	0.9928990269	0.993085913	0.9929523435000001	0.9946342849	0.9929491384	0.9930116986	0.9929633477	0.9929895147000001	0.9929608364	0.9930082197000001	0.9924497648	0.9924161713	0.992585386	0.9948026999	0.9947689669	0.9924930183	0.9947956901	0.9923608633000001	0.9947901551	0.9946738788	0.9924316351	0.9936819567	0.9935667678000001	0.9923986514	0.9925087546	0.9923221247	0.9926695484	0.9924769311
H005_77	0.9928700611000001	0.9925234661000001	0.9909684606	0.9931560254	0.9999547433	0.9999466094	1.0	0.746973002	0.9998541442000001	0.9928221622000001	0.9928445443	0.9932325077	0.9930655274	0.9930754624	0.9931317889000001	0.9931555428000001	0.9929226656000001	0.9931757099	0.9931239413	0.9946048131	0.9930103869	0.9931574961	0.9931147880000001	0.9930866295	0.9931219245	0.9930717321	0.9926299388000001	0.9925711891000001	0.9927268297	0.9948259619	0.9947926222000001	0.9927017787	0.9948174269000001	0.9925062164	0.9948274890000001	0.9948134015000001	0.9926493119	0.9938638264	0.9937754715	0.9927824333	0.9927749969	0.9924715568	0.9926946652	0.9927218084
H005_94	0.7474530334	0.748201976	0.9997577448	0.7478293718	0.7473534980000001	0.7467814329	0.746794107	1.0	0.7467896266	0.7477096364	0.7476979317	0.7476233367	0.7476415805000001	0.7476082270000001	0.7476887045	0.7478450355	0.7476319574	0.7476204762	0.7476074468	0.7471576892	0.7475261359	0.7476743611000001	0.7477121277000001	0.7478784024	0.7476093009	0.7478184211000001	0.7476848795000001	0.7477743015	0.7476495195	0.7468854816	0.7468470635000001	0.7477425176	0.7466215377000001	0.7473356469	0.7466269246	0.747103099	0.7474555936	0.746888306	0.7468872587000001	0.747693012	0.747694749	0.747792337	0.7476756046	0.7476930522
H005_97	0.9934142538	0.9929697251	0.9917728799000001	0.9934293150000001	0.9999075912000001	0.9998780048	0.9999588739	0.7463846856	1.0	0.9932677549000001	0.9931345149	0.9936133488000001	0.9935162932	0.9934159969	0.9933727862	0.993582798	0.9933490426	0.9935455079000001	0.9934453996	0.9946684586000001	0.9933939512000001	0.9934302316	0.9934221437	0.9934289759	0.9934534105	0.9934133292	0.9930515554	0.9929172855	0.9931774543	0.9945747507	0.9945731721000001	0.9930926364	0.9946087987000001	0.9929453565	0.9946188648000001	0.9946486723	0.9930636536	0.9940539938	0.9940229341000001	0.9931128292	0.9931300581	0.992940562	0.9929851301	0.9931032835
H005_98_hybrid	0.9995130832	0.9921960569	0.9979859811	0.9918931059	0.9928106522000001	0.9928782131	0.9928555034000001	0.7520270135	0.9928459804	1.0	0.9918957266	0.9917986938000001	0.9918658707	0.992060817	0.991950254	0.9917696757000001	0.9917574549	0.9921251144000001	0.9917202767000001	0.9933035215	0.9917902977	0.9917867229	0.9918129753	0.9918866919	0.9918379258000001	0.9919365527	0.9917856438	0.9914728822000001	0.9917657985	0.9933151334	0.9934136194000001	0.9919231325000001	0.9933384399	0.9917589825	0.9934604064	0.9933613193	0.9918251749	0.9922792359	0.9921594828	0.9918052331	0.9921224506	0.9916965670000001	0.9916178053	0.9918485024
H007_145	0.9926442294000001	0.9994422650000001	0.9906664898	0.9982219989000001	0.9932235911	0.9931980332	0.9932611752	0.7463191334	0.9932117397	0.9926245724	1.0	0.9982472086	0.9981892534000001	0.99826223	0.9979019387	0.9982895791	0.9980922222	0.9982696745	0.9982499101000001	0.9930080870000001	0.9980903625	0.9983048175	0.9982922191	0.9980218126	0.9982362205	0.9982220410000001	0.9997174504	0.9996358126	0.9998248565000001	0.9934841599	0.9934531873	0.9997640251000001	0.9935021441	0.9996726928	0.9934956490000001	0.9934800060000001	0.9997021552	0.9950649364	0.9944527589000001	0.9996172946	0.9996673089	0.9995408960000001	0.9981484512000001	0.9996806216
H007_146	0.9923228434	0.9975736294	0.9901892023000001	0.9998228437000001	0.9937201265000001	0.9937720833	0.9938150386000001	0.7459971499	0.9937864136000001	0.9925815502	0.9978333483	1.0	0.9999336202	0.9998776656	0.9995004961	0.999746419	0.9998472048	0.9999374185000001	0.9999532394	0.9937322301	0.9999067685	0.9999503365	0.9999344581	0.9998114177	0.9999555556	0.9999073930000001	0.9977787556000001	0.9977971896000001	0.9977845073	0.9931995482	0.9931812753	0.9977938323000001	0.9932037163	0.9977202959	0.9932168792	0.993228434	0.9977353052000001	0.9954630218	0.9940734578	0.9977021624	0.9977277377	0.9976925035	0.9965355904000001	0.9978199043
H007_148	0.9924431859	0.9975847762000001	0.9903680356000001	0.9999699581	0.9939427309000001	0.9940054742000001	0.9940770674	0.7465080059	0.9940833436000001	0.9926787811000001	0.9979376003	0.9999506764	1.0	0.9999421184	0.9995510157	0.9999411960000001	0.9999084997000001	0.9999433255000001	0.9999418502	0.9937139069	0.9999128083000001	0.9999365258	0.9999629478000001	0.9997462297	0.9999612679000001	0.9999705666	0.9978735264	0.9978605692	0.9978807658000001	0.9936105266	0.9936225829	0.9979305450000001	0.9936373534	0.9978653874000001	0.9936126636	0.9935611329	0.9979179334	0.9953708565	0.9939174302	0.9977198669	0.9977810204	0.9978364901000001	0.9966239029	0.9979584511
H007_154	0.9922093463	0.9976311366	0.9902987282000001	0.9998405294	0.9933159859	0.9933343472	0.9932508418	0.7454469426	0.9933136947000001	0.9925210674	0.997924307	0.9998460339	0.9998751408000001	1.0	0.9994573078000001	0.9998518080000001	0.9998303635	0.9999387451	0.9999578428	0.9932686486000001	0.9998128937	0.9999174681	0.9998782589	0.9998300419	0.9999268335	0.9999195875	0.9977964085000001	0.997731118	0.9977695859000001	0.9933413266000001	0.9932867624	0.9978248846000001	0.9933554109	0.9978248957	0.9933170101000001	0.9933637236	0.9977766432	0.9954333602000001	0.9942224354	0.9976750409	0.9978053149	0.9977640237000001	0.9964669269	0.9978397210000001
H007_156	0.9921180916000001	0.9976614934	0.9903786457	0.9999248821000001	0.9936082989	0.9935469753	0.9936379623	0.7460031275	0.9935801975	0.9924464738000001	0.9980254752000001	0.9999498706000001	0.9999089	0.9999524585	1.0	0.9999500238000001	0.9999023148	0.9999099235000001	0.9999088918000001	0.9935027382	0.9999112104000001	0.9999450660000001	0.9998787909000001	0.9997070458	0.9999494433	0.99995882	0.9979084657	0.9979518532	0.9979550598	0.9936238201	0.9936244120000001	0.9980047751000001	0.9936051627	0.9979001539000001	0.9935950722	0.9936042002000001	0.9979878069	0.9954365692	0.9942903745	0.9978615220000001	0.9978170368	0.9978724186000001	0.9964144428	0.9980287867000001
H007_157	0.9924054786000001	0.9975719331	0.9904332851000001	0.9998820949	0.9933267385000001	0.9934489806000001	0.9934431044	0.7456984676	0.9934988451000001	0.9927610541	0.9979466883	0.9998706329	0.9998549083	0.9998343981000001	0.9994921598000001	1.0	0.9998075591000001	0.9998501887000001	0.9998998976000001	0.9932480904000001	0.9997915439	0.9999010834000001	0.9998961417000001	0.9997592823	0.9999078867000001	0.9998824186	0.9978769361000001	0.9977629324	0.9978755907	0.9935710123	0.9935712189	0.9978606183000001	0.9936001320000001	0.9978595048000001	0.9935732463	0.993585652	0.9978801101	0.9955077389	0.9941239023	0.9976997763000001	0.9977566497	0.9977358340000001	0.996622514	0.9978414302
H007_158	0.9924216506	0.9977390889000001	0.9902340565000001	0.999885181	0.9933228831	0.993513686	0.9935013194000001	0.7462822068	0.9935481740000001	0.9927048956000001	0.9979800056	0.9998701725	0.9999448186000001	0.9998836181	0.9994921188	0.9998861111	1.0	0.999941065	0.9999446393	0.9932635336000001	0.9999830347	0.9999433795	0.9999362101	0.9997467147	0.9999484087	0.9999710039	0.9979353588000001	0.997937524	0.9979321023000001	0.9934338107	0.9934119276000001	0.9979597233	0.9934446656	0.9979339084000001	0.9934032740000001	0.9933786722000001	0.9979289416	0.9953433403	0.9938595385000001	0.9977485116	0.9977730671	0.9979211994	0.9967406211000001	0.9978793331
H007_162	0.9919288592000001	0.9974446330000001	0.9901156238000001	0.9998510464	0.9932252418	0.9933896026000001	0.9933836865000001	0.7471188744	0.9933526402	0.9921649788	0.9978865942	0.9999034589	0.9998902429000001	0.9998393783	0.9995684719000001	0.9997786848	0.9997693804000001	1.0	0.9999363356000001	0.9933185319000001	0.9997915722	0.9998961882	0.9999200340000001	0.9996862965000001	0.9998946552	0.9999290029000001	0.9978496355	0.9977467394	0.9978432316	0.9935957582	0.9935933589	0.9979121346000001	0.993597908	0.99777227	0.9935875736	0.9935795980000001	0.9978627352	0.9951338608	0.9936182923	0.997725	0.9977250638	0.997662794	0.9965300791	0.9978347032
H007_172	0.992017652	0.9975922675000001	0.9899133772	0.999778614	0.9932589629	0.9933400737	0.9933973297	0.745696266	0.9933658717	0.9922659794	0.9979539836	0.9999471783	0.9999144879	0.9999329126000001	0.9993575085	0.9997841904	0.9998635720000001	0.9999501095000001	1.0	0.9932947483000001	0.9998769739000001	0.9999219045000001	0.9999586926	0.9996922655	0.9999391367	0.9999026964000001	0.9978582318	0.9978554312000001	0.9978879865	0.9933290113000001	0.9933410357	0.9979203664	0.9933275672	0.9978323348	0.9933442731000001	0.9933510907	0.9979198224	0.9951474146	0.9936045412000001	0.9977659944	0.9977869192000001	0.9978090356	0.9962482449000001	0.9979251607
H007_176_hybrid	0.9933732794000001	0.9927128696	0.9894184308	0.9928808014	0.9942258856	0.9943449049	0.9944548697000001	0.7519843199	0.9943638601	0.9935437794	0.9926580941	0.9927411244000001	0.9928897947	0.9928673737	0.9929877935	0.9927229847000001	0.9925887216	0.9930853872000001	0.9927085588000001	1.0	0.9927215502000001	0.9928777968	0.9928655974	0.9928978723	0.9929005392	0.99292189	0.9925531948	0.9922943499	0.9928168727000001	0.9959293326	0.9960235909	0.9926799756	0.9959450301	0.9927617638	0.9960830845	0.9960234781	0.9926116308	0.9945024687	0.9944884804	0.9926333192000001	0.9928760116	0.9924174977	0.9932990528000001	0.9925219897
H007_181	0.9923320368	0.9976401532	0.9904882233000001	0.9997880557000001	0.9933532766000001	0.9934791308	0.9934678627	0.7456018887	0.9935039951	0.9925307307000001	0.9979045127	0.9999603354000001	0.9998949699	0.9998845850000001	0.9994570345	0.9998030947000001	0.9999383683	0.9999133098	0.9999424234000001	0.9931836350000001	1.0	0.9999283386000001	0.9999120393	0.9997733351	0.9999471997	0.9999372872000001	0.9978596346	0.9978776481	0.9978764608	0.9935036327000001	0.9935000829	0.9978840068	0.9935352257000001	0.9978538099	0.9935035135	0.9934558108	0.9978719168000001	0.9952658039000001	0.9939205508000001	0.9976499206	0.9976786457000001	0.9978314658	0.9964244637	0.9978494503
